Mobile Name,Price,Rating,Reviews
"realme P4R 5G (Silver Glare, 128 GB)","₹18,999",N/A,N/A
"MOTOROLA g06 power (Pantone tapestry, 64 GB)","₹12,999",4.2,"18,696 Ratings & 1,083 Reviews"
"Samsung Galaxy F07 (Green, 64 GB)","₹10,399",4.3,"7,175 Ratings & 429 Reviews"
"realme P4 Lite (Beach Gold, 128 GB)","₹13,999",4,"3,050 Ratings & 162 Reviews"
"realme P4 Lite 5G (Mosaic Blue, 64 GB)","₹14,499",4.3,"6,751 Ratings & 349 Reviews"
"MOTOROLA g06 power (Pantone Tendril, 64 GB)","₹12,999",4.2,"18,696 Ratings & 1,083 Reviews"
"Samsung M06 5G (Sage Green, 128 GB)","₹12,799",4.1,"2,831 Ratings & 168 Reviews"
"realme P4 Lite 5G (Mosaic Green, 64 GB)","₹14,499",4.3,"6,751 Ratings & 349 Reviews"
"Ai+ Pulse 2 (Purple, 64 GB)","₹10,499",4.4,"3,693 Ratings & 164 Reviews"
"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)","₹14,999",4.3,402 Ratings & 27 Reviews
"MOTOROLA g37 (PANTONE Nautical Blue, 64 GB)","₹14,999",4.3,402 Ratings & 27 Reviews
"POCO C81x (Ice Blue, 64 GB)","₹10,999",4,190 Ratings & 12 Reviews
"POCO C85 5G (Mystic Purple, 128 GB)","₹14,499",3.8,"1,510 Ratings & 148 Reviews"
"Samsung Galaxy M06 5G (Sage Green, 64 GB)","₹12,255",4.1,829 Ratings & 56 Reviews
"Samsung Galaxy A07 LTE (Light Violet, 64 GB)","₹10,206",4.2,699 Ratings & 42 Reviews
"Samsung Galaxy M06 5G (Blazing Black, 64 GB)","₹12,379",4.1,829 Ratings & 56 Reviews
"POCO C85x (Emerald Green, 64 GB)","₹12,499",4.1,"2,332 Ratings & 111 Reviews"
"Samsung M06 5G (Sage Green, 128 GB)","₹14,980",4.1,"1,807 Ratings & 109 Reviews"
"POCO C85 5G (Power Black, 128 GB)","₹14,499",3.8,"1,510 Ratings & 148 Reviews"
Vivo T4 Lite 5G (Prism Blue 2026) ( 4GB 64GB),"₹14,999",4.3,"36,846 Ratings & 1,305 Reviews"
"Samsung Galaxy M17 5G (Sapphire Black, 128 GB)","₹14,828",4.2,"1,193 Ratings & 77 Reviews"
"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)","₹12,760",4.3,"2,825 Ratings & 121 Reviews"
"POCO C85x (Elite Black, 64 GB)","₹12,499",4.1,"2,332 Ratings & 111 Reviews"
"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)","₹12,999",4.2,"18,696 Ratings & 1,083 Reviews"
